Accident_Severity,Casualty_Severity,Age_of_Casualty,Age_of_Driver,Normalized_Age,Road_Surface_Conditions_1,Road_Surface_Conditions_2,Road_Surface_Conditions_3,Road_Surface_Conditions_4,Road_Surface_Conditions_5,Weather_Conditions_1,Weather_Conditions_2,Weather_Conditions_3,Weather_Conditions_4,Weather_Conditions_5,Weather_Conditions_6,Weather_Conditions_7,Weather_Conditions_8,Weather_Conditions_9,Light_Conditions_1,Light_Conditions_4,Light_Conditions_5,Light_Conditions_6,Light_Conditions_7,Sex_of_Driver_1,Sex_of_Driver_2,Sex_of_Driver_3
2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0,2883691.0
2.817596614893898,2.880351258161849,35.81109210383498,39.04507521783714,0.011146399492838948,0.6636404524617929,0.3071157762742263,0.0069248057437499375,0.020735578118459986,0.0015833874017708554,0.7915757964358872,0.12831645276834447,0.007434915876909142,0.013084272898864685,0.015152802432715572,0.0014824750640758666,0.007575707660772253,0.022210770848887763,0.01316680601354306,0.7375027352098404,0.18710222419808503,0.004372174411197316,0.06211726568484626,0.008905600496030956,0.6615760842614552,0.3361972555311925,0.0022266602073523134
0.4369390262538653,0.3555429820022908,18.040372095607975,15.929940826766728,1.0093274337091822,0.47246362794027913,0.46129789727522735,0.08292680624443416,0.14249779282533337,0.03976029218103328,0.40618174767637083,0.3344418925686018,0.08590483375170375,0.11363573020640039,0.12216055085904404,0.03847437907345284,0.08670824021623784,0.1473684499420375,0.11398879654941195,0.4399914975331122,0.38999363410368,0.06597772360168186,0.2413684552536199,0.09394835728525934,0.47317359038300205,0.472407385944006,0.047134944172137906
1.0,1.0,0.0,4.0,-1.9924219027533558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,21.0,26.0,-0.8175084366916961,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,33.0,37.0,-0.1461293132278906,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,3.0,47.0,49.0,0.6371463308132159,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3.0,3.0,103.0,100.0,3.7702489069776424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
